12260000,    12263000,    USB, 10,  #55008080, 1211
12263000,    12266000,    USB, 10,  #5500C9C9, 1212
12266000,    12269000,    USB, 10,  #55008080, 1213
12269000,    12272000,    USB, 10,  #5500C9C9, 1214
12272000,    12275000,    USB, 10,  #55008080, 1215
12275000,    12278000,    USB, 10,  #5500C9C9, 1216
12278000,    12281000,    USB, 10,  #55008080, 1217
12281000,    12284000,    USB, 10,  #5500C9C9, 1218
12284000,    12287000,    USB, 10,  #55008080, 1219
12287000,    12290000,    USB, 10,  #5500C9C9, 1220
12290000,    12293000,    USB, 10,  #55008080, 1221
12293000,    12296000,    USB, 10,  #5500C9C9, 1222
12296000,    12299000,    USB, 10,  #55008080, 1223
12299000,    12302000,    USB, 10,  #5500C9C9, 1224
12302000,    12305000,    USB, 10,  #55008080, 1225
12305000,    12308000,    USB, 10,  #5500C9C9, 1226
12308000,    12311000,    USB, 10,  #55008080, 1227
12311000,    12314000,    USB, 10,  #5500C9C9, 1228
12314000,    12317000,    USB, 10,  #55008080, 1229
12317000,    12320000,    USB, 10,  #5500C9C9, 1230
12320000,    12323000,    USB, 10,  #55008080, 1231
12323000,    12326000,    USB, 10,  #5500C9C9, 1232
12326000,    12329000,    USB, 10,  #55008080, 1233
12329000,    12332000,    USB, 10,  #5500C9C9, 1234
12332000,    12335000,    USB, 10,  #55008080, 1235
12335000,    12338000,    USB, 10,  #5500C9C9, 1236
12338000,    12341000,    USB, 10,  #55008080, 1237
12341000,    12344000,    USB, 10,  #5500C9C9, 1238
12344000,    12347000,    USB, 10,  #55008080, 1239
12347000,    12350000,    USB, 10,  #5500C9C9, 1240
12350000,    12353000,    USB, 10,  #55008080, 1241
12353000,    12410600,    USB, 100, #5500C9C9, Maritime
12410600,    12413600,    USB, 10,  #5500FF91, WEFAX Kodiak AK
12413600,    12748100,    USB, 100, #55008080, Maritime
12748100,    12751100,    USB, 100, #5500FF91, WEFAX Boston MA (Day)
12751100,    12784100,    USB, 100, #55008080, Maritime
12784100,    12787100,    USB, 100, #5500FF91, WEFAX PT. Reyes CA
12787100,    12788000,    USB, 100, #55008080, Maritime
12788000,    12791000,    USB, 100, #5500FF91, WEFAX New Orleans LA
12791000,    13077000,    USB, 10,  #505D88FF, Maritime
12791000,    13200000,    USB, 100, #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
13077000,    13080000,    USB, 10,  #55008080, ITU Ch.1201 (Coast TX)
13080000,    13083000,    USB, 10,  #5500C9C9, 1202
13083000,    13086000,    USB, 10,  #55008080, 1203
13086000,    13089000,    USB, 10,  #5500C9C9, 1204
13089000,    13092000,    USB, 10,  #55008080, 1205
13092000,    13095000,    USB, 10,  #5500C9C9, 1206
13095000,    13098000,    USB, 10,  #55008080, 1207
13098000,    13101000,    USB, 10,  #5500C9C9, 1208
13101000,    13104000,    USB, 10,  #55008080, 1209
13104000,    13107000,    USB, 10,  #5500C9C9, 1210
13107000,    13110000,    USB, 10,  #55008080, 1211
13110000,    13113000,    USB, 10,  #5500C9C9, 1212
13113000,    13116000,    USB, 10,  #55008080, 1213
13116000,    13119000,    USB, 10,  #5500C9C9, 1214
13119000,    13122000,    USB, 10,  #55008080, 1215
13122000,    13125000,    USB, 10,  #5500C9C9, 1216
13125000,    13128000,    USB, 10,  #55008080, 1217
13128000,    13131000,    USB, 10,  #5500C9C9, 1218
13131000,    13134000,    USB, 10,  #55008080, 1219
13134000,    13137000,    USB, 10,  #5500C9C9, 1220
13137000,    13140000,    USB, 10,  #55008080, 1221
13140000,    13143000,    USB, 10,  #5500C9C9, 1222
13143000,    13146000,    USB, 10,  #55008080, 1223
13146000,    13149000,    USB, 10,  #5500C9C9, 1224
13149000,    13152000,    USB, 10,  #55008080, 1225
13152000,    13155000,    USB, 10,  #5500C9C9, 1226
13155000,    13158000,    USB, 10,  #55008080, 1227
13158000,    13161000,    USB, 10,  #5500C9C9, 1228
13161000,    13164000,    USB, 10,  #55008080, 1229
13164000,    13167000,    USB, 10,  #5500C9C9, 1230
13167000,    13170000,    USB, 10,  #55008080, 1231
13170000,    13173000,    USB, 10,  #5500C9C9, 1232
13173000,    13176000,    USB, 10,  #55008080, 1233
13176000,    13179000,    USB, 10,  #5500C9C9, 1234
13179000,    13182000,    USB, 10,  #55008080, 1235
13182000,    13185000,    USB, 10,  #5500C9C9, 1236
13185000,    13188000,    USB, 10,  #55008080, 1237
13188000,    13191000,    USB, 10,  #5500C9C9, 1238
13191000,    13194000,    USB, 10,  #55008080, 1239
13194000,    13197000,    USB, 10,  #5500C9C9, 1240
13197000,    13200000,    USB, 10,  #55008080, 1241
13200000,    13203000,    USB, 10,  #5090EE90, HFGCS
13203000,    13360000,    USB, 10,  #505D88FF, Aeronautical (HFDL)
13360000,    13410000,    AM,  100, #40FFFF00, Radio Astronomy
13410000,    13508100,    USB, 100, #5500FF7F, Radiolocation
13508100,    13511100,    USB, 10,  #5500FF91, WEFAX Halifax CA
13511100,    13553000,    USB, 100, #5500FF7F, Radiolocation
13553000,    13567000,    CW,  10,  #50FF0000, 22m (HiFER) Band and 22m ISM
13567000,    13570000,    CW,  10,  #44006179, 22m ISM Band
13570000,    13870000,    AM,  100, #505D63FF, Shortwave (22m) Broadcast
13870000,    13927000,    USB, 100, #55008080, Propagation Testing
13927000,    13930000,    USB, 10,  #5090EE90, MARS
13930000,    14000000,    USB, 100, #55008080, Propagation Testing
14000000,    14070000,    USB, 10,  #50FF0000, 20m Ham Band|
14070000,    14095000,    USB, 10,  #500000FF, RTTY (20m)
14095000,    14099500,    USB, 10,  #5000B3FF, Packet (20m)
14099500,    14100500,    USB, 10,  #50ACFFEC, NCDXF Beacons (20m)
14100500,    14112000,    USB, 10,  #5000B3FF, Packet (20m)
14112000,    14228000,    USB, 10,  #50FF0000, 20m
14228000,    14232000,    USB, 10,  #50FF004D, SSTV (20m)
14232000,    14284000,    USB, 10,  #50FF0000, 20m
14284000,    14288000,    USB, 10,  #5000FF00, AM calling frequency (20m)
14288000,    14350000,    USB, 10,  #50FF0000, |20m Ham Band
14350000,    14669000,    USB, 100, #55008080, Propagation Testing
14669000,    14671000,    AM,  100, #44FF00FF, CHU Canada
14671000,    14995000,    USB, 100, #55008080, Propagation Testing
14995000,    15005000,    AM,  100, #44FF00FF, WWV NIST
15016000,    15019000,    USB, 100, #5090EE90, HFGCS
15019000,    15100000,    USB, 100, #40AFFFEE, (Transoceanic Flights) (HFDL)
15100000,    15800000,    AM,  100, #505D63FF, Shortwave (19m) Broadcast
15800000,    16133100,    USB, 100, #5500C9C9, (Ship/Shore) Maritime
16133100,    16136100,    USB, 10,  #5500FF91, WEFAX Honolulu HI (Day)
16136100,    16360000,    USB, 100, #5500C9C9, (Ship/Shore) Maritime
16136100,    17144500,    USB, 100, #55008080, (Ship/Shore) Maritime
